0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
274.3743743743744,274.3743743743744,274.3743743743744,274.3743743743744,274.3743743743744,274.3743743743744,274.3743743743744,274.3743743743744,274.3743743743744,274.3743743743744,274.3743743743744,274.3743743743744,274.3743743743744,1279.2592592592591,,,,,,,,,,,,,,,
228.32832832832833,228.32832832832833,228.32832832832833,228.32832832832833,228.32832832832833,228.32832832832833,228.32832832832833,228.32832832832833,228.32832832832833,228.32832832832833,228.32832832832833,228.32832832832833,228.32832832832833,228.32832832832833,228.32832832832833,228.32832832832833,228.32832832832833,228.32832832832833,228.32832832832833,228.32832832832833,228.32832832832833,1009.6296296296296,,,,,,,
213.71371371371373,213.71371371371373,213.71371371371373,213.71371371371373,213.71371371371373,1425.1851851851852,,,,,,,,,,,,,,,,,,,,,,,
292.19219219219224,292.19219219219224,292.19219219219224,292.19219219219224,292.19219219219224,292.19219219219224,292.19219219219224,292.19219219219224,292.19219219219224,292.19219219219224,292.19219219219224,292.19219219219224,292.19219219219224,292.19219219219224,292.19219219219224,292.19219219219224,292.19219219219224,292.19219219219224,292.19219219219224,292.19219219219224,292.19219219219224,292.19219219219224,292.19219219219224,292.19219219219224,292.19219219219224,1486.6666666666665,,,
160.66066066066065,160.66066066066065,160.66066066066065,160.66066066066065,160.66066066066065,160.66066066066065,160.66066066066065,160.66066066066065,160.66066066066065,160.66066066066065,160.66066066066065,160.66066066066065,1131.8518518518517,,,,,,,,,,,,,,,,
147.24724724724726,147.24724724724726,147.24724724724726,147.24724724724726,147.24724724724726,147.24724724724726,147.24724724724726,147.24724724724726,147.24724724724726,147.24724724724726,147.24724724724726,147.24724724724726,147.24724724724726,1423.7037037037037,,,,,,,,,,,,,,,
281.3813813813814,281.3813813813814,281.3813813813814,281.3813813813814,281.3813813813814,281.3813813813814,281.3813813813814,281.3813813813814,281.3813813813814,281.3813813813814,281.3813813813814,281.3813813813814,281.3813813813814,281.3813813813814,281.3813813813814,281.3813813813814,281.3813813813814,281.3813813813814,281.3813813813814,1351.111111111111,,,,,,,,,
252.35235235235237,252.35235235235237,252.35235235235237,252.35235235235237,252.35235235235237,252.35235235235237,252.35235235235237,1396.2962962962963,,,,,,,,,,,,,,,,,,,,,
278.7787787787788,278.7787787787788,278.7787787787788,278.7787787787788,278.7787787787788,278.7787787787788,278.7787787787788,278.7787787787788,278.7787787787788,278.7787787787788,278.7787787787788,278.7787787787788,278.7787787787788,278.7787787787788,278.7787787787788,278.7787787787788,278.7787787787788,278.7787787787788,278.7787787787788,278.7787787787788,278.7787787787788,278.7787787787788,278.7787787787788,278.7787787787788,278.7787787787788,278.7787787787788,1022.2222222222222,,
297.5975975975976,297.5975975975976,1269.6296296296296,,,,,,,,,,,,,,,,,,,,,,,,,,
272.7727727727728,272.7727727727728,272.7727727727728,272.7727727727728,272.7727727727728,272.7727727727728,272.7727727727728,272.7727727727728,272.7727727727728,272.7727727727728,272.7727727727728,272.7727727727728,1165.9259259259259,,,,,,,,,,,,,,,,
115.61561561561561,1356.2962962962963,,,,,,,,,,,,,,,,,,,,,,,,,,,
121.62162162162163,121.62162162162163,121.62162162162163,121.62162162162163,121.62162162162163,121.62162162162163,121.62162162162163,121.62162162162163,121.62162162162163,121.62162162162163,121.62162162162163,121.62162162162163,121.62162162162163,121.62162162162163,121.62162162162163,121.62162162162163,121.62162162162163,901.4814814814815,,,,,,,,,,,
114.21421421421421,114.21421421421421,114.21421421421421,114.21421421421421,114.21421421421421,114.21421421421421,114.21421421421421,114.21421421421421,114.21421421421421,114.21421421421421,114.21421421421421,114.21421421421421,114.21421421421421,114.21421421421421,114.21421421421421,114.21421421421421,114.21421421421421,114.21421421421421,114.21421421421421,1022.2222222222222,,,,,,,,,
297.7977977977978,297.7977977977978,297.7977977977978,1141.4814814814815,,,,,,,,,,,,,,,,,,,,,,,,,
114.61461461461461,114.61461461461461,114.61461461461461,870.3703703703703,,,,,,,,,,,,,,,,,,,,,,,,,
116.41641641641641,116.41641641641641,116.41641641641641,116.41641641641641,116.41641641641641,116.41641641641641,116.41641641641641,116.41641641641641,116.41641641641641,116.41641641641641,116.41641641641641,116.41641641641641,116.41641641641641,116.41641641641641,116.41641641641641,778.5185185185185,,,,,,,,,,,,,
242.54254254254255,242.54254254254255,242.54254254254255,242.54254254254255,242.54254254254255,242.54254254254255,242.54254254254255,242.54254254254255,242.54254254254255,242.54254254254255,242.54254254254255,242.54254254254255,242.54254254254255,1291.8518518518517,,,,,,,,,,,,,,,
209.1091091091091,209.1091091091091,209.1091091091091,209.1091091091091,209.1091091091091,209.1091091091091,209.1091091091091,209.1091091091091,209.1091091091091,209.1091091091091,209.1091091091091,209.1091091091091,209.1091091091091,209.1091091091091,209.1091091091091,209.1091091091091,209.1091091091091,209.1091091091091,209.1091091091091,209.1091091091091,209.1091091091091,209.1091091091091,914.0740740740741,,,,,,
146.84684684684686,146.84684684684686,146.84684684684686,146.84684684684686,146.84684684684686,146.84684684684686,1248.888888888889,,,,,,,,,,,,,,,,,,,,,,
