0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
714.2857142857143,442.8571428571429,442.8571428571429,442.8571428571429,442.8571428571429,442.8571428571429,442.8571428571429,442.8571428571429,442.8571428571429,442.8571428571429,442.8571428571429,442.8571428571429,442.8571428571429,442.8571428571429,442.8571428571429,442.8571428571429,442.8571428571429,442.8571428571429,442.8571428571429,442.8571428571429,442.8571428571429,657.1428571428572,657.1428571428572,657.1428571428572,657.1428571428572,657.1428571428572,657.1428571428572,657.1428571428572,657.1428571428572,657.1428571428572
714.2857142857143,714.2857142857143,714.2857142857143,714.2857142857143,714.2857142857143,714.2857142857143,714.2857142857143,714.2857142857143,714.2857142857143,714.2857142857143,714.2857142857143,714.2857142857143,714.2857142857143,714.2857142857143,714.2857142857143,714.2857142857143,714.2857142857143,714.2857142857143,714.2857142857143,714.2857142857143,714.2857142857143,714.2857142857143,714.2857142857143,714.2857142857143,714.2857142857143,714.2857142857143,714.2857142857143,714.2857142857143,714.2857142857143,714.2857142857143
642.8571428571429,642.8571428571429,642.8571428571429,642.8571428571429,642.8571428571429,642.8571428571429,642.8571428571429,642.8571428571429,285.7142857142857,285.7142857142857,285.7142857142857,285.7142857142857,285.7142857142857,285.7142857142857,285.7142857142857,285.7142857142857,285.7142857142857,285.7142857142857,285.7142857142857,285.7142857142857,285.7142857142857,285.7142857142857,285.7142857142857,285.7142857142857,285.7142857142857,285.7142857142857,285.7142857142857,285.7142857142857,285.7142857142857,285.7142857142857
800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,157.14285714285714,157.14285714285714,157.14285714285714,157.14285714285714,157.14285714285714,157.14285714285714,157.14285714285714,157.14285714285714,157.14285714285714,157.14285714285714,157.14285714285714,157.14285714285714,157.14285714285714,157.14285714285714
528.5714285714287,528.5714285714287,528.5714285714287,528.5714285714287,528.5714285714287,528.5714285714287,528.5714285714287,528.5714285714287,528.5714285714287,485.7142857142857,485.7142857142857,485.7142857142857,485.7142857142857,485.7142857142857,485.7142857142857,485.7142857142857,485.7142857142857,485.7142857142857,257.1428571428571,257.1428571428571,257.1428571428571,257.1428571428571,257.1428571428571,257.1428571428571,257.1428571428571,257.1428571428571,257.1428571428571,257.1428571428571,257.1428571428571,257.1428571428571
271.42857142857144,271.42857142857144,271.42857142857144,271.42857142857144,271.42857142857144,271.42857142857144,271.42857142857144,271.42857142857144,271.42857142857144,271.42857142857144,271.42857142857144,271.42857142857144,271.42857142857144,271.42857142857144,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
314.28571428571433,314.28571428571433,314.28571428571433,314.28571428571433,314.28571428571433,314.28571428571433,314.28571428571433,314.28571428571433,314.28571428571433,314.28571428571433,314.28571428571433,314.28571428571433,314.28571428571433,314.28571428571433,314.28571428571433,314.28571428571433,314.28571428571433,314.28571428571433,314.28571428571433,314.28571428571433,314.28571428571433,314.28571428571433,314.28571428571433,457.14285714285717,457.14285714285717,300.0,300.0,300.0,300.0,300.0
185.71428571428572,185.71428571428572,185.71428571428572,185.71428571428572,185.71428571428572,185.71428571428572,185.71428571428572,185.71428571428572,185.71428571428572,185.71428571428572,185.71428571428572,185.71428571428572,185.71428571428572,185.71428571428572,185.71428571428572,185.71428571428572,185.71428571428572,185.71428571428572,557.1428571428571,557.1428571428571,557.1428571428571,557.1428571428571,557.1428571428571,557.1428571428571,557.1428571428571,557.1428571428571,557.1428571428571,557.1428571428571,557.1428571428571,557.1428571428571
157.14285714285714,157.14285714285714,157.14285714285714,157.14285714285714,157.14285714285714,157.14285714285714,157.14285714285714,157.14285714285714,157.14285714285714,157.14285714285714,157.14285714285714,157.14285714285714,157.14285714285714,157.14285714285714,157.14285714285714,157.14285714285714,157.14285714285714,157.14285714285714,157.14285714285714,157.14285714285714,157.14285714285714,157.14285714285714,157.14285714285714,157.14285714285714,157.14285714285714,157.14285714285714,157.14285714285714,157.14285714285714,157.14285714285714,157.14285714285714
